Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter
eda	[eda 1,932,085 &larr; 1,932,784]	-	edap3	[edap3 1,932,784]
dgcZ	[dgcZ 1,622,960 &larr; 1,623,879]	-	dgcZp	[dgcZp 1,623,879]
yebQ	[yebQ 1,910,276 &rarr; 1,911,649]	+		
crr	[crr 2,535,480 &rarr; 2,536,380]	+	crrp2	[crrp2 2,535,480]
sohB	[sohB 1,329,284 &rarr; 1,330,381]	+	sohBp1	[sohBp1 1,329,284]
aspC	[aspC 984,519 &larr; 985,743]	-	aspCp	[aspCp 985,743]
ileS-lspA-fkpB-ispH	[ileS-lspA-fkpB-ispH 21,833 &rarr; 27,279]	+	ileSp1	[ileSp1 21,833]
galE	[galE 790,312 &larr; 792,081]	-	galEp	[galEp 792,081]
mscL	[mscL 3,438,001 &rarr; 3,438,434]	+	mscLp	[mscLp 3,438,001]
ygiH	[ygiH 3,204,694 &rarr; 3,205,311]	+		
yciG	[yciG 1,315,785 &larr; 1,316,092]	-	yciGp	[yciGp 1,316,092]
rrsE-gltV-rrlE-rrfE	[rrsE-gltV-rrlE-rrfE 4,207,693 &rarr; 4,213,209]	+	rrsEp3	[rrsEp3 4,207,863]
yiaKLMNO-lyx-sgbHUE	[yiaKLMNO-lyx-sgbHUE 3,742,720 &rarr; 3,750,781]	+	yiaKp2	[yiaKp2 3,742,720]
gadXW	[gadXW 3,663,541 &larr; 3,665,839]	-	gadXp	[gadXp 3,665,839]
torCAD	[torCAD 1,057,977 &rarr; 1,062,398]	+	torCp	[torCp 1,058,056]
yeiG	[yeiG 2,243,910 &rarr; 2,244,746]	+		
ygeH	[ygeH 2,991,879 &rarr; 2,993,470]	+	ygeHp10	[ygeHp10 2,991,879]
bamA	[bamA 197,821 &rarr; 200,360]	+	bamAp1	[bamAp1 197,821]
ybeT	[ybeT 678,852 &larr; 679,406]	-		
narXL	[narXL 1,275,179 &larr; 1,277,777]	-	narXp	[narXp 1,277,777]
hemB	[hemB 388,753 &larr; 389,754]	-	hemBp	[hemBp 389,754]
topAI-yjhQ	[topAI-yjhQ 4,533,239 &larr; 4,534,053]	-		
ybhI	[ybhI 801,887 &rarr; 803,320]	+		
rsfS-rlmH-mrdAB-rlpA	[rsfS-rlmH-mrdAB-rlpA 664,102 &larr; 669,072]	-	rsfSp	[rsfSp 669,072]
pykF	[pykF 1,755,600 &rarr; 1,757,110]	+	pykFp4	[pykFp4 1,755,600]
phnLMNOP	[phnLMNOP 4,314,344 &larr; 4,317,925]	-	phnLp	[phnLp NIL &larr; NIL]
ridA	[ridA 4,470,527 &larr; 4,470,946]	-	ridAp	[ridAp 4,470,946]
ycjXF	[ycjXF 1,384,117 &rarr; 1,386,572]	+		
ykiA	[ykiA 408,574 &rarr; 408,950]	+	ykiAp	[ykiAp 408,574]
rrsC-gltU-rrlC-rrfC	[rrsC-gltU-rrlC-rrfC 3,941,395 &rarr; 3,947,067]	+	rrsCp	[rrsCp 3,941,516]
yjeFE-amiB-mutL-miaA-hfq-hflXKC	[yjeFE-amiB-mutL-miaA-hfq-hflXKC 4,393,677 &rarr; 4,404,304]	+	yjeFp1	[yjeFp1 4,393,677]
marC	[marC 1,618,243 &larr; 1,618,941]	-	marCp	[marCp 1,618,941]
dnaQ	[dnaQ 236,017 &rarr; 236,798]	+	dnaQp2	[dnaQp2 236,017]
yaaA	[yaaA 5,683 &larr; 6,459]	-		
alkA	[alkA 2,146,692 &larr; 2,147,559]	-	alkAp2	[alkAp2 2,147,559]
ygfF	[ygfF 3,045,158 &larr; 3,045,901]	-		
sohB	[sohB 1,329,284 &rarr; 1,330,381]	+	sohBp	[sohBp 1,329,284]
fre	[fre 4,026,485 &rarr; 4,027,228]	+	frep2	[frep2 4,026,485]
ybeZYX-lnt	[ybeZYX-lnt 689,343 &larr; 693,469]	-	ybeZp	[ybeZp 693,469]
pgaABCD	[pgaABCD 1,086,106 &larr; 1,092,523]	-	pgaAp	[pgaAp 1,092,523]
yedRJ	[yedRJ 2,032,384 &larr; 2,033,421]	-		
lapAB	[lapAB 1,340,186 &rarr; 1,341,727]	+	lapAp2	[lapAp2 1,340,186]
galE	[galE 791,039 &larr; 792,086]	-	galEp2	[galEp2 792,086]
asnC-mioC-mnmG	[asnC-mioC-mnmG 3,923,705 &larr; 3,927,031]	-	asnCp	[asnCp 3,927,031]
rob	[rob 4,634,441 &larr; 4,635,353]	-	robp	[robp 4,635,353]
ltaE-ybjT	[ltaE-ybjT 906,852 &larr; 909,320]	-	ltaEp	[ltaEp 909,320]
modABC	[modABC 794,995 &rarr; 797,612]	+	modAp1	[modAp1 794,995]
insN-2	[insN-2 4,507,167 &rarr; 4,509,793]	+	insNp	[insNp NIL &rarr; NIL]
bdcR	[bdcR 4,474,124 &rarr; 4,474,717]	+		
ssnA	[ssnA 3,018,950 &rarr; 3,020,522]	+	ssnAp	[ssnAp 3,018,950]
lacI	[lacI 366,428 &larr; 367,538]	-	lacIp	[lacIp 367,538]
nikABCDER	[nikABCDER 3,613,587 &rarr; 3,618,989]	+	nikAp1	[nikAp1 3,613,628]
araC	[araC 70,118 &rarr; 71,265]	+	araCp	[araCp 70,223]
yhaBC	[yhaBC 3,267,854 &rarr; 3,269,602]	+		
ykgL	[ykgL 312,112 &rarr; 312,339]	+		
ybgD	[ybgD 752,229 &larr; 752,795]	-		
yeiW	[yeiW 2,265,041 &larr; 2,265,330]	-	yeiWp	[yeiWp 2,265,330]
pepD	[pepD 254,259 &larr; 255,737]	-	pepDp3	[pepDp3 255,737]
yaiT	[yaiT 390,251 &rarr; 394,418]	+		
infC-rpmI-rplT	[infC-rpmI-rplT 1,799,363 &larr; 1,800,818]	-	infCp2	[infCp2 1,800,818]
chpSB	[chpSB 4,448,428 &rarr; 4,449,042]	+	chpSp2	[chpSp2 4,448,428]
yohD	[yohD 2,225,801 &rarr; 2,226,379]	+		
ypeA-yfeZ	[ypeA-yfeZ 2,551,277 &larr; 2,552,138]	-		
ydcR	[ydcR 1,509,978 &rarr; 1,511,409]	+	ydcRp	[ydcRp 1,509,978]
valVW	[valVW 1,746,415 &rarr; 1,746,592]	+	valVp	[valVp 1,746,415]
dppABCDF	[dppABCDF 3,701,864 &larr; 3,707,870]	-	dppAp	[dppAp 3,707,870]
torYZ	[torYZ 1,954,578 &larr; 1,958,132]	-		
copA	[copA 508,875 &larr; 511,411]	-	copAp	[copAp 511,411]
feaB	[feaB 1,447,370 &rarr; 1,449,063]	+	feaBp2	[feaBp2 1,447,370]
plsB	[plsB 4,254,043 &larr; 4,256,598]	-	plsBp1	[plsBp1 4,256,598]
ytfA	[ytfA 4,427,694 &rarr; 4,428,095]	+		
ynfO-ydfO	[ynfO-ydfO 1,636,756 &rarr; 1,637,457]	+		
yehE	[yehE 2,192,515 &larr; 2,192,796]	-		
epmB	[epmB 4,374,629 &larr; 4,375,657]	-		
leuE	[leuE 1,880,121 &larr; 1,880,800]	-	leuEp	[leuEp 1,880,800]
trxA	[trxA 3,965,650 &rarr; 3,966,136]	+	trxAp3	[trxAp3 3,965,650]
C0293	[C0293 1,196,711 &rarr; 1,196,782]	+	C0293p	[C0293p 1,196,711]
aspX	[aspX 4,366,839 &larr; 4,366,951]	-	aspXp2	[aspXp2 4,366,951]
queE	[queE 2,904,747 &larr; 2,905,418]	-		
ymjA	[ymjA 1,357,423 &larr; 1,357,668]	-		
yhjE	[yhjE 3,674,786 &rarr; 3,676,108]	+		
stfZ	[stfZ 104,948 &larr; 105,499]	-	stfZp1	[stfZp1 105,313]
yjhP	[yjhP 4,532,437 &larr; 4,533,183]	-		
tgt-yajC	[tgt-yajC 426,055 &rarr; 427,786]	+	tgtp	[tgtp 426,055]
acrZ	[acrZ 794,751 &rarr; 794,922]	+	acrZp	[acrZp 794,751]
ddpXABCDF	[ddpXABCDF 1,557,112 &larr; 1,563,249]	-	ddpXp3	[ddpXp3 1,563,249]
mutY-yggX-mltC-nupG	[mutY-yggX-mltC-nupG 3,102,911 &rarr; 3,106,970]	+	mutYp2	[mutYp2 3,102,911]
yfjV	[yfjV 2,772,167 &larr; 2,773,212]	-	yfjVp	[yfjVp NIL &larr; NIL]
sfsA-dksA	[sfsA-dksA 160,149 &larr; 161,515]	-	sfsAp	[sfsAp 161,515]
lysP	[lysP 2,247,063 &larr; 2,248,560]	-	lysPp	[lysPp 2,248,560]
dmlR	[dmlR 1,880,886 &larr; 1,881,809]	-		
araFGH	[araFGH 1,982,554 &larr; 1,986,238]	-	araFp3	[araFp3 1,986,238]
pstB-phoU	[pstB-phoU 3,906,853 &larr; 3,908,556]	-	pstBp2	[pstBp2 3,908,556]
yfbV	[yfbV 2,412,677 &larr; 2,413,132]	-		
yccU	[yccU 1,027,946 &rarr; 1,028,359]	+		
sdsN	[sdsN 1,996,921 &rarr; 1,997,057]	+	sdsNp1	[sdsNp1 1,996,921]
pflDC	[pflDC 4,143,995 &rarr; 4,147,136]	+		
srlAEBD-gutM-srlR-gutQ	[srlAEBD-gutM-srlR-gutQ 2,825,449 &rarr; 2,830,778]	+	srlAp	[srlAp 2,825,791]
relA	[relA 2,911,417 &larr; 2,913,700]	-	relAp3	[relAp3 2,913,700]
ygjP	[ygjP 3,235,960 &rarr; 3,236,463]	+		
abgABT-ogt	[abgABT-ogt 1,399,721 &larr; 1,404,565]	-		
mazEFG	[mazEFG 2,909,894 &larr; 2,911,368]	-	mazEp1	[mazEp1 2,911,368]
rhaSR	[rhaSR 4,097,599 &rarr; 4,099,494]	+	rhaSp	[rhaSp 4,097,711]
ibaG-murA	[ibaG-murA 3,335,235 &larr; 3,336,833]	-	ibaGp1	[ibaGp1 3,336,833]
yfdPQ	[yfdPQ 2,473,604 &rarr; 2,474,856]	+		
iclR	[iclR 4,222,804 &larr; 4,223,652]	-	iclRp	[iclRp 4,223,652]
norVW	[norVW 2,832,298 &rarr; 2,835,045]	+	norVp	[norVp 2,832,439]
ycgX	[ycgX 1,212,703 &larr; 1,213,107]	-		
frc	[frc 2,492,004 &larr; 2,493,439]	-	frcp	[frcp 2,493,439]
yafC	[yafC 229,967 &larr; 230,881]	-		
htpX	[htpX 1,911,652 &larr; 1,912,618]	-	htpXp	[htpXp 1,912,618]
rlmE-ftsH	[rlmE-ftsH 3,324,942 &larr; 3,327,731]	-	rlmEp2	[rlmEp2 3,327,731]
ihfB	[ihfB 963,429 &rarr; 964,173]	+	ihfBp2	[ihfBp2 963,749]
yihN	[yihN 4,062,247 &rarr; 4,063,512]	+		
elaA	[elaA 2,381,082 &larr; 2,381,543]	-		
flgMN	[flgMN 1,129,414 &larr; 1,130,165]	-	flgMp	[flgMp 1,130,165]
mdtM-yjiN	[mdtM-yjiN 4,565,966 &larr; 4,568,519]	-		
puuP	[puuP 1,357,802 &larr; 1,359,373]	-	puuPp	[puuPp 1,359,373]
ftp	[ftp 2,310,479 &larr; 2,311,534]	-		
ybcI	[ybcI 556,032 &larr; 556,553]	-		
putP	[putP 1,079,291 &rarr; 1,080,838]	+	putPp5	[putPp5 1,079,291]
yqfB	[yqfB 3,043,312 &larr; 3,043,623]	-		
tus	[tus 1,684,259 &rarr; 1,685,188]	+		
yjiML	[yjiML 4,563,922 &larr; 4,565,850]	-		
mntR-ybiR	[mntR-ybiR 853,098 &rarr; 854,765]	+	mntRp	[mntRp 853,098]
ydeI	[ydeI 1,624,105 &larr; 1,624,559]	-	ydeIp5	[ydeIp5 1,624,559]
psuKG	[psuKG 2,257,429 &larr; 2,259,296]	-		
dhaR	[dhaR 1,251,003 &rarr; 1,252,985]	+	dhaRp	[dhaRp 1,251,003]
hscBA-fdx-iscX	[hscBA-fdx-iscX 2,656,506 &larr; 2,659,524]	-	hscBp	[hscBp 2,659,524]
hlyE	[hlyE 1,229,483 &larr; 1,230,466]	-	hlyEp	[hlyEp 1,230,466]
cspF	[cspF 1,641,855 &rarr; 1,642,067]	+		
fabA	[fabA 1,015,952 &larr; 1,016,498]	-	fabAp	[fabAp 1,016,498]
usg-truA-dedA	[usg-truA-dedA 2,434,082 &larr; 2,436,890]	-	usgp	[usgp 2,436,890]
asnV	[asnV 2,062,252 &rarr; 2,062,335]	+	asnVp	[asnVp 2,062,252]
yjhD	[yjhD 4,506,626 &larr; 4,506,856]	-		
sohA-yhaV	[sohA-yhaV 3,276,972 &rarr; 3,277,801]	+	sohAp	[sohAp 3,276,972]
sulA	[sulA 1,020,410 &larr; 1,020,947]	-	sulAp	[sulAp 1,020,947]
bamC	[bamC 2,597,803 &larr; 2,599,014]	-	bamCp	[bamCp 2,599,014]
tfaX	[tfaX 582,875 &rarr; 583,060]	+		
yhcADE	[yhcADE 3,362,112 &rarr; 3,366,929]	+		
yggN	[yggN 3,100,904 &larr; 3,101,798]	-	yggNp1	[yggNp1 3,101,798]
yfjH	[yfjH 2,757,644 &larr; 2,758,600]	-		
mtr	[mtr 3,304,573 &larr; 3,305,860]	-	mtrp2	[mtrp2 3,305,860]
carAB	[carAB 29,610 &rarr; 34,120]	+	carAp2	[carAp2 29,619]
yaiP	[yaiP 382,739 &larr; 383,935]	-		
alaC	[alaC 2,497,057 &larr; 2,498,399]	-	alaCp	[alaCp 2,498,399]
yadI	[yadI 144,577 &rarr; 145,017]	+		
opgB	[opgB 4,597,150 &larr; 4,599,441]	-		
insH-8	[insH-8 2,289,065 &larr; 2,290,045]	-		
proVWX	[proVWX 2,804,563 &rarr; 2,808,124]	+	proVp1	[proVp1 2,804,563]
yqjA-mzrA	[yqjA-mzrA 3,247,643 &rarr; 3,248,822]	+	yqjAp2	[yqjAp2 3,247,643]
yfGM	[yfGM 2,638,663 &larr; 2,639,370]	-	yfgMp3	[yfgMp3 2,639,370]
xtpA	[xtpA 345,252 &rarr; 345,434]	+	xtpAp	[xtpAp 345,252]
qorA	[qorA 4,263,248 &larr; 4,264,304]	-	qorAp	[qorAp 4,264,304]
purEK	[purEK 551,527 &larr; 553,142]	-	purEp	[purEp 553,142]
mngR	[mngR 765,104 &larr; 765,926]	-	mngRp	[mngRp 765,926]
yajI	[yajI 432,312 &larr; 432,851]	-		
wrbA-yccJ	[wrbA-yccJ 1,066,864 &larr; 1,067,758]	-	wrbAp	[wrbAp 1,067,758]
fabDG-acpP	[fabDG-acpP 1,149,728 &rarr; 1,151,851]	+		
feaR	[feaR 1,446,378 &larr; 1,447,394]	-	feaRp3	[feaRp3 1,447,394]
ybdD	[ybdD 632,182 &rarr; 632,379]	+		
ihfA	[ihfA 1,795,216 &larr; 1,795,721]	-	ihfAp4	[ihfAp4 1,795,721]
dmsABC	[dmsABC 940,781 &rarr; 944,896]	+	dmsAp1	[dmsAp1 940,823]
rplM-rpsI	[rplM-rpsI 3,377,756 &larr; 3,378,808]	-	rplMp	[rplMp 3,378,808]
glyU	[glyU 2,998,984 &larr; 2,999,064]	-	glyUp	[glyUp 2,999,064]
clcA	[clcA 175,107 &rarr; 176,528]	+		
yeiH	[yeiH 2,249,717 &rarr; 2,250,766]	+		
yfgJ	[yfgJ 2,635,599 &larr; 2,635,814]	-		
serU	[serU 2,043,468 &larr; 2,043,562]	-	serUp	[serUp 2,043,562]
rpoE-rseABC	[rpoE-rseABC 2,707,322 &larr; 2,710,087]	-	rpoEp2a	[rpoEp2a 2,710,087]
yjcS	[yjcS 4,304,612 &larr; 4,306,627]	-	yjcSp	[yjcSp NIL &larr; NIL]
evgAS	[evgAS 2,483,521 &rarr; 2,487,967]	+	evgAp2	[evgAp2 2,483,631]
pldB-yigL	[pldB-yigL 4,009,170 &rarr; 4,011,000]	+		
gntKU	[gntKU 3,575,688 &larr; 3,577,645]	-	gntKp	[gntKp 3,577,645]
ytfK	[ytfK 4,439,511 &rarr; 4,439,793]	+	ytfKp1	[ytfKp1 4,439,511]
puuDRCBE	[puuDRCBE 1,361,052 &rarr; 1,366,815]	+	puuDp	[puuDp 1,361,052]
ygdQ	[ygdQ 2,970,420 &rarr; 2,971,133]	+		
rirA-rfaQGPSBIJYZ-waaU	[rirA-rfaQGPSBIJYZ-waaU 3,798,239 &larr; 3,808,238]	-	rirAp	[rirAp 3,808,238]
aroP	[aroP 120,144 &larr; 121,650]	-	aroPp2	[aroPp2 121,650]
kilR-ydaE	[kilR-ydaE 1,417,838 &larr; 1,418,229]	-		
yrbG-kdsD	[yrbG-kdsD 3,340,211 &rarr; 3,342,252]	+	yrbGp	[yrbGp 3,340,211]
yacC-speED	[yacC-speED 134,756 &larr; 136,940]	-	yacCp	[yacCp 136,940]
sdiA	[sdiA 1,996,110 &larr; 1,996,893]	-	sdiAp2b	[sdiAp2b 1,996,893]
gmhB	[gmhB 222,806 &rarr; 223,408]	+	gmhBp	[gmhBp 222,806]
glpFK	[glpFK 4,115,714 &larr; 4,118,090]	-		
aslA	[aslA 3,984,352 &larr; 3,986,007]	-		
ycgJ	[ycgJ 1,226,600 &rarr; 1,226,968]	+		
mqsRA	[mqsRA 3,167,851 &larr; 3,168,653]	-	mqsRp1	[mqsRp1 3,168,653]
hupB	[hupB 461,187 &rarr; 461,778]	+	hupBp3	[hupBp3 461,332]
ygdI	[ygdI 2,942,918 &larr; 2,943,145]	-		
ppsR	[ppsR 1,787,445 &rarr; 1,788,278]	+		
yoaF	[yoaF 1,877,278 &larr; 1,877,532]	-		
cstA	[cstA 629,765 &rarr; 632,091]	+	cstAp1	[cstAp1 629,855]
proP	[proP 4,330,285 &rarr; 4,332,004]	+	proPp1	[proPp1 4,330,320]
ypjB	[ypjB 2,783,638 &larr; 2,784,818]	-	ypjBp	[ypjBp 2,784,818]
topA	[topA 1,330,883 &rarr; 1,333,645]	+	topAp2	[topAp2 1,330,883]
pqiABC	[pqiABC 1,011,623 &rarr; 1,015,459]	+	pqiAp3	[pqiAp3 1,011,666]
dgt	[dgt 179,214 &rarr; 180,754]	+	dgtp2	[dgtp2 179,214]
ydhS	[ydhS 1,747,131 &rarr; 1,748,735]	+		
mhpT	[mhpT 375,386 &rarr; 376,670]	+	mhpTp	[mhpTp 375,386]
yjhV	[yjhV 4,509,009 &rarr; 4,510,133]	+		
bolA	[bolA 454,386 &rarr; 454,865]	+	bolAp	[bolAp 454,434]
sroG-ribB	[sroG-ribB 3,183,813 &larr; 3,184,718]	-	ribBp	[ribBp 3,184,718]
iraD	[iraD 4,556,856 &rarr; 4,557,385]	+	idlPp	[idlPp 4,556,856]
atoDAEB	[atoDAEB 2,323,273 &rarr; 2,327,293]	+	atoDp	[atoDp 2,323,412]
kch	[kch 1,309,016 &larr; 1,310,269]	-		
ascFB	[ascFB 2,839,356 &rarr; 2,842,414]	+	ascFp	[ascFp 2,839,429]
melAB	[melAB 4,341,648 &rarr; 4,344,790]	+	melAp	[melAp 4,341,887]
iraM	[iraM 1,211,680 &larr; 1,212,123]	-	iraMp2	[iraMp2 1,212,123]
aspS	[aspS 1,948,662 &larr; 1,950,701]	-	aspSp1	[aspSp1 1,950,701]
adiY	[adiY 4,337,168 &larr; 4,338,042]	-	adiYp	[adiYp 4,338,042]
gyrB	[gyrB 3,877,532 &larr; 3,880,150]	-	gyrBp	[gyrBp 3,880,150]
mdoGH	[mdoGH 1,109,278 &rarr; 1,113,560]	+	opgGp1	[opgGp1 1,109,278]
dpiBA	[dpiBA 651,984 &rarr; 654,542]	+	dpiBp1	[dpiBp1 651,984]
yihUTS	[yihUTS 4,070,515 &larr; 4,073,606]	-	yihUp3	[yihUp3 4,073,606]
ycbJ	[ycbJ 971,672 &rarr; 972,645]	+	ycbJp	[ycbJp 971,672]
gntP	[gntP 4,549,922 &larr; 4,551,334]	-	gntPp	[gntPp 4,551,334]
ybhC	[ybhC 805,998 &larr; 807,321]	-	ybhCp	[ybhCp 807,321]
xapB	[xapB 2,522,698 &larr; 2,524,375]	-	xapBp3	[xapBp3 2,524,375]
raiAZ	[raiAZ 2,737,104 &rarr; 2,737,552]	+	raiAp	[raiAp 2,737,104]
ohsC	[ohsC 2,700,518 &rarr; 2,700,598]	+	ohsCp	[ohsCp 2,700,518]
glmUS	[glmUS 3,911,810 &larr; 3,915,326]	-	glmUp2	[glmUp2 3,915,326]
ymjC-mpaA	[ymjC-mpaA 1,389,870 &larr; 1,390,862]	-		
ykfA-yafZ	[ykfA-yafZ 267,184 &larr; 268,960]	-		
ybfHG	[ybfHG 715,947 &larr; 716,641]	-	ybfHp	[ybfHp 716,641]
zraP	[zraP 4,201,263 &larr; 4,201,712]	-	zraPp	[zraPp 4,201,712]
ybiT	[ybiT 855,947 &rarr; 857,555]	+	ybiTp	[ybiTp 855,947]
ybhL	[ybhL 819,858 &rarr; 820,588]	+	ybhLp	[ybhLp 819,858]
ribF-ileS-lspA-fkpB-ispH	[ribF-ileS-lspA-fkpB-ispH 21,383 &rarr; 27,279]	+	ribFp	[ribFp 21,383]
yeaY	[yeaY 1,889,951 &larr; 1,890,561]	-	yeaYp	[yeaYp 1,890,561]
kptA	[kptA 4,560,930 &rarr; 4,561,484]	+		
glnK-amtB	[glnK-amtB 472,469 &rarr; 474,301]	+	glnKp	[glnKp 472,556]
yraR	[yraR 3,298,211 &larr; 3,298,897]	-	yraRp	[yraRp 3,298,897]
znuCB	[znuCB 1,942,624 &rarr; 1,944,199]	+	znuCp	[znuCp 1,942,634]
yqhH	[yqhH 3,158,627 &rarr; 3,158,884]	+		
sfmA	[sfmA 558,212 &rarr; 558,754]	+		
tyrV-tpr	[tyrV-tpr 1,287,009 &larr; 1,287,358]	-	tyrVp	[tyrVp NIL &larr; NIL]
oxyR	[oxyR 4,158,457 &rarr; 4,159,407]	+	oxyRp	[oxyRp 4,158,457]
yiaA	[yiaA 3,726,924 &larr; 3,727,391]	-	yiaAp	[yiaAp NIL &larr; NIL]
cpxRA	[cpxRA 4,103,602 &larr; 4,105,686]	-	cpxRp	[cpxRp 4,105,686]
yceA	[yceA 1,116,772 &rarr; 1,117,859]	+	yceAp	[yceAp 1,116,772]
istR-2	[istR-2 3,853,118 &larr; 3,853,257]	-	istR-2p	[istR-2p 3,853,257]
lpxT	[lpxT 2,268,826 &rarr; 2,269,567]	+	lpxTp	[lpxTp 2,268,826]
pgk	[pgk 3,071,431 &larr; 3,072,735]	-	pgkp3	[pgkp3 3,072,735]
uspB	[uspB 3,639,385 &larr; 3,639,848]	-	uspBp	[uspBp 3,639,848]
yafDE	[yafDE 231,064 &rarr; 232,549]	+	yafDp	[yafDp 231,064]
yqgD	[yqgD 3,086,399 &larr; 3,086,650]	-		
pgi	[pgi 4,233,722 &rarr; 4,235,407]	+	pgip2	[pgip2 4,233,722]
yadC	[yadC 149,715 &larr; 150,983]	-	yadCp	[yadCp NIL &larr; NIL]
alkB	[alkB 2,308,691 &larr; 2,309,445]	-	alkBp	[alkBp 2,309,445]
ydfUT	[ydfUT 1,642,489 &larr; 1,644,304]	-		
yeeRST-cbeA-cbtA-yeeW	[yeeRST-cbeA-cbtA-yeeW 2,074,779 &rarr; 2,078,134]	+		
purHD	[purHD 4,204,642 &larr; 4,207,627]	-	purHp	[purHp 4,207,627]
yehHI	[yehHI 2,197,410 &rarr; 2,203,911]	+		
ydiQRST-fadK	[ydiQRST-fadK 1,779,617 &rarr; 1,784,677]	+		
trpL	[trpL 1,322,975 &larr; 1,323,108]	-	trpLp	[trpLp 1,323,108]
ompR-envZ	[ompR-envZ 3,534,473 &larr; 3,536,639]	-	ompRp3	[ompRp3 3,536,639]
ppc	[ppc 4,150,447 &larr; 4,153,190]	-	ppcp	[ppcp 4,153,190]
yneE	[yneE 1,608,108 &larr; 1,609,022]	-		
puuAP	[puuAP 1,357,802 &larr; 1,360,968]	-	puuAp	[puuAp 1,360,968]
ushA	[ushA 504,914 &rarr; 506,566]	+		
rpsU-dnaG-rpoD	[rpsU-dnaG-rpoD 3,210,712 &rarr; 3,214,962]	+	rpsUp2	[rpsUp2 3,210,712]
guaBA	[guaBA 2,630,906 &larr; 2,634,107]	-	guaBp	[guaBp 2,634,107]
sdhDAB	[sdhDAB 755,391 &rarr; 758,450]	+	sdhDp	[sdhDp 755,404]
ptsHI-crr	[ptsHI-crr 2,533,437 &rarr; 2,536,380]	+	ptsHp4	[ptsHp4 2,533,501]
ykfJ-prfH	[ykfJ-prfH 253,467 &rarr; 254,202]	+		
ycaK	[ycaK 949,668 &rarr; 950,258]	+		
fhuACDB	[fhuACDB 167,439 &rarr; 173,444]	+	fhuAp	[fhuAp 167,442]
fnrS	[fnrS 1,409,129 &rarr; 1,409,250]	+	fnrSp	[fnrSp 1,409,129]
ydhL	[ydhL 1,725,681 &larr; 1,725,920]	-		
zntB	[zntB 1,408,024 &rarr; 1,409,033]	+	zntBp	[zntBp 1,408,024]
ptrA-recBD	[ptrA-recBD 2,950,635 &larr; 2,959,011]	-	ptrAp	[ptrAp 2,959,011]
cpxPQ	[cpxPQ 4,105,733 &rarr; 4,106,387]	+	cpxPp	[cpxPp 4,105,785]
yqjCDEK	[yqjCDEK 3,248,969 &rarr; 3,250,376]	+		
relA-mazEF	[relA-mazEF 2,910,756 &larr; 2,914,277]	-	relAp2	[relAp2 2,914,277]
dnaN-recF	[dnaN-recF 3,880,148 &larr; 3,882,733]	-	dnaNp	[dnaNp 3,882,733]
shoB	[shoB 2,700,117 &larr; 2,700,291]	-	shoBp	[shoBp 2,700,291]
torI	[torI 2,476,310 &rarr; 2,476,510]	+		
dtpD	[dtpD 741,075 &larr; 742,556]	-		
djlA	[djlA 57,364 &rarr; 58,179]	+		
paaXY	[paaXY 1,463,509 &rarr; 1,465,061]	+	paaXp	[paaXp 1,463,509]
cedA	[cedA 1,813,421 &larr; 1,813,742]	-	cedAp	[cedAp 1,813,742]
yhfG-fic-pabA	[yhfG-fic-pabA 3,490,266 &larr; 3,491,648]	-	yhfGp	[yhfGp 3,491,648]
nadK	[nadK 2,750,831 &rarr; 2,751,709]	+		
rttR	[rttR 1,287,066 &larr; 1,287,236]	-		
osmE	[osmE 1,821,865 &larr; 1,822,283]	-	osmEp	[osmEp 1,822,283]
argR	[argR 3,384,649 &rarr; 3,385,173]	+	argRp1	[argRp1 3,384,677]
kgtP	[kgtP 2,724,448 &larr; 2,725,746]	-		
ileX	[ileX 3,215,597 &rarr; 3,215,716]	+	ileXp	[ileXp 3,215,597]
hycABCDEFGHI	[hycABCDEFGHI 2,842,477 &larr; 2,850,461]	-	hycAp	[hycAp 2,850,461]
mqsA	[mqsA 3,167,851 &larr; 3,168,397]	-	mqsAp2	[mqsAp2 3,168,397]
ibpB	[ibpB 3,866,469 &larr; 3,866,981]	-	ibpBp	[ibpBp 3,866,981]
yfjI	[yfjI 2,758,985 &rarr; 2,760,394]	+		
citCDEFXG	[citCDEFXG 646,631 &larr; 651,952]	-	citCp1	[citCp1 651,952]
yciSM-pyrF-yciH	[yciSM-pyrF-yciH 1,340,135 &rarr; 1,342,984]	+	lapAp1	[lapAp1 1,340,135]
ybiA	[ybiA 832,468 &larr; 832,950]	-		
queG	[queG 4,392,928 &larr; 4,394,092]	-	queGp	[queGp 4,394,092]
serA	[serA 3,057,178 &larr; 3,058,549]	-	serAp2	[serAp2 3,058,549]
ptsA-fsaB-gldA	[ptsA-fsaB-gldA 4,137,932 &larr; 4,142,221]	-		
xdhABC	[xdhABC 3,000,257 &rarr; 3,003,968]	+	xdhAp1	[xdhAp1 3,000,257]
ycjG	[ycjG 1,388,874 &rarr; 1,389,895]	+	ycjGp	[ycjGp 1,388,874]
csgBAC	[csgBAC 1,103,821 &rarr; 1,105,293]	+	csgBp2	[csgBp2 1,103,859]
mdtEF	[mdtEF 3,659,084 &rarr; 3,663,527]	+	mdtEp1	[mdtEp1 3,659,084]
relA-mazEF	[relA-mazEF 2,910,756 &larr; 2,913,829]	-	relAp1	[relAp1 2,913,829]
