Transcription-Units	Sequence - coordinates of DNA region	Direction	Transcription units - promoter of operon	Sequence - coordinates of DNA region of promoter	Genes of transcription unit
ydfJ	[ydfJ 1,631,002 &larr; 1,632,285]	-			ydfJ
lpdA	[lpdA 127,688 &rarr; 129,394]	+	lpdAp	[lpdAp 127,717]	lpd
fabZ	[fabZ 202,101 &rarr; 202,556]	+			fabZ
yjhP	[yjhP 4,532,437 &larr; 4,533,183]	-			yjhP
galE	[galE 790,312 &larr; 792,081]	-	galEp	[galEp 792,081]	galE
bglX	[bglX 2,219,660 &larr; 2,222,120]	-	bglXp	[bglXp 2,222,120]	bglX
ygfF	[ygfF 3,045,158 &larr; 3,045,901]	-			ygfF
ydhXUT	[ydhXUT 1,748,747 &larr; 1,751,013]	-			ydhX // ydhU // ydhT
hdeD	[hdeD 3,656,960 &rarr; 3,657,567]	+	hdeDp	[hdeDp 3,656,960]	hdeD
asnC-mioC-mnmG	[asnC-mioC-mnmG 3,923,705 &larr; 3,927,031]	-	asnCp	[asnCp 3,927,031]	mnmG // mioC // asnC
atpIBEFHAGDC	[atpIBEFHAGDC 3,915,508 &larr; 3,922,525]	-	atpIp	[atpIp 3,922,525]	atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB // atpI
appCBA-yccB	[appCBA-yccB 1,037,710 &rarr; 1,041,915]	+	appCp2	[appCp2 1,037,710]	appX // appC // appB // appA
ybbB	[ybbB 530,132 &larr; 531,226]	-			selU
ydbH-ynbE-ydbL	[ydbH-ynbE-ydbL 1,443,051 &rarr; 1,446,206]	+			ydbL // ynbE // ydbH
rpoH	[rpoH 3,599,887 &larr; 3,600,863]	-	rpoHp4	[rpoHp4 3,600,863]	rpoH
ltaE-ybjT	[ltaE-ybjT 906,852 &larr; 909,320]	-	ltaEp	[ltaEp 909,320]	ybjT // ltaE
metBL	[metBL 4,128,579 &rarr; 4,132,456]	+	metBp	[metBp 4,128,636]	metL // metB
hupA	[hupA 4,199,921 &rarr; 4,200,601]	+	hupAp	[hupAp 4,200,176]	hupA
mnmG-rsmG	[mnmG-rsmG 3,923,057 &larr; 3,925,674]	-	mnmGp2	[mnmGp2 3,925,674]	mnmG // rsmG
hupB	[hupB 461,187 &rarr; 461,778]	+	hupBp2	[hupBp2 461,395]	hupB
ybfE	[ybfE 711,605 &larr; 711,939]	-	ybfEp	[ybfEp 711,939]	ybfE
lsp-fkpB-ispH	[lsp-fkpB-ispH 25,014 &rarr; 27,279]	+	lspAp	[lspAp 25,014]	ispH // fkpB // lspA
yiaKLMNO-lyx-sgbHUE	[yiaKLMNO-lyx-sgbHUE 3,742,568 &rarr; 3,750,781]	+	yiaKp1	[yiaKp1 3,742,674]	yiaM // sgbE // sgbU // sgbH // lyxK // yiaO // yiaN // yiaL // yiaK
gss	[gss 3,136,663 &larr; 3,138,610]	-	gssp	[gssp 3,138,610]	gss
speC	[speC 3,107,020 &larr; 3,109,175]	-	speCp	[speCp 3,109,175]	speC
ileS-lspA-fkpB-ispH	[ileS-lspA-fkpB-ispH 21,833 &rarr; 27,279]	+	ileSp1	[ileSp1 21,833]	ispH // fkpB // lspA // ileS
blr	[blr 1,704,512 &rarr; 1,704,676]	+	blrp	[blrp 1,704,512]	blr
rseP	[rseP 196,470 &rarr; 197,898]	+	rsePp	[rsePp 196,470]	rseP
mazEFG	[mazEFG 2,909,894 &larr; 2,911,368]	-	mazEp1	[mazEp1 2,911,368]	mazG // mazF // mazE
yegJ	[yegJ 2,151,185 &rarr; 2,151,646]	+			yegJ
queE	[queE 2,904,747 &larr; 2,905,418]	-			queE
ycjD	[ycjD 1,351,407 &larr; 1,351,760]	-			ycjD
bdm-sra	[bdm-sra 1,555,826 &larr; 1,556,340]	-	bdmp	[bdmp 1,556,340]	sra // bdm
ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP	[ymfTLMNR-beeE-jayE-ymfQ-ycfK-tfaP 1,203,024 &rarr; 1,208,545]	+			tfaP // ycfK // ymfQ // jayE // beeE // ymfR // ymfN // ymfM // ymfL // ymfT
rpsA-ihfB	[rpsA-ihfB 961,859 &rarr; 964,173]	+	rpsAp3	[rpsAp3 961,859]	ihfB // rpsA
yabR	[yabR 85,467 &larr; 85,511]	-			yabR
ycgX	[ycgX 1,212,703 &larr; 1,213,107]	-			ycgX
fumA	[fumA 1,686,705 &larr; 1,688,440]	-	fumAp	[fumAp 1,688,440]	fumA
lepAB	[lepAB 2,704,335 &larr; 2,707,196]	-	lepAp	[lepAp 2,707,196]	lepA // lepB
ybhI	[ybhI 801,887 &rarr; 803,320]	+			ybhI
smtA-mukFEB	[smtA-mukFEB 973,404 &rarr; 980,786]	+	cmoMp	[cmoMp 973,404]	mukB // mukE // mukF // cmoM
modABC	[modABC 794,995 &rarr; 797,612]	+	modAp1	[modAp1 794,995]	modC // modB // modA
ileS-lspA-fkpB-ispH	[ileS-lspA-fkpB-ispH 22,229 &rarr; 27,279]	+	ileSp3	[ileSp3 22,229]	ispH // fkpB // lspA // ileS
sapABCDF	[sapABCDF 1,351,828 &larr; 1,357,110]	-			sapA // sapB // sapC // sapD // sapF
nikABCDER	[nikABCDER 3,613,587 &rarr; 3,618,989]	+	nikAp1	[nikAp1 3,613,628]	nikR // nikA // nikB // nikC // nikD // nikE
sbcDC	[sbcDC 412,607 &larr; 416,977]	-	sbcDp	[sbcDp 416,977]	sbcD // sbcC
phoBR	[phoBR 417,070 &rarr; 419,245]	+	phoBp	[phoBp 417,101]	phoB // phoR
ynfD	[ynfD 1,657,565 &rarr; 1,657,870]	+			ynfD
brnQ-proY	[brnQ-proY 419,488 &rarr; 422,359]	+	brnQp	[brnQp 419,488]	proY // brnQ
yedRJ	[yedRJ 2,032,384 &larr; 2,033,421]	-			drpB // yedJ
ompC	[ompC 2,311,610 &larr; 2,312,887]	-	ompCp3	[ompCp3 2,312,887]	ompC
trpt	[trpt 3,946,957 &rarr; 3,947,032]	+			trpT
mcrBC	[mcrBC 4,576,912 &larr; 4,579,337]	-			mcrC // mcrB
cspD	[cspD 922,366 &larr; 922,676]	-	cspDp	[cspDp 922,676]	cspD
trpS	[trpS 3,512,634 &larr; 3,513,697]	-	trpSp	[trpSp 3,513,697]	trpS
rsfS-rlmH-mrdAB-rlpA	[rsfS-rlmH-mrdAB-rlpA 664,102 &larr; 669,072]	-	rsfSp	[rsfSp 669,072]	rsfS // rlmH // mrdA // mrdB // rlpA
oppABCDF	[oppABCDF 1,299,267 &rarr; 1,306,768]	+	oppAp	[oppAp 1,301,085]	oppA // oppB // oppC // oppD // oppF
ypfM	[ypfM 2,590,807 &larr; 2,590,970]	-	ypfMp	[ypfMp 2,590,970]	ypfM
agaR	[agaR 3,277,856 &larr; 3,278,703]	-	agaRp	[agaRp 3,278,703]	agaR
sibC	[sibC 3,056,851 &rarr; 3,056,991]	+	sibCp	[sibCp 3,056,851]	sibC
solA-yceO	[solA-yceO 1,119,307 &larr; 1,120,609]	-	solAp	[solAp 1,120,609]	solA // yceO
yfjV	[yfjV 2,772,167 &larr; 2,773,212]	-	yfjVp	[yfjVp NIL &larr; NIL]	yfjV
nfsB	[nfsB 604,771 &larr; 605,453]	-	nfsBp	[nfsBp 605,453]	nfsB
rcsC	[rcsC 2,317,027 &larr; 2,319,876]	-			rcsC
rrlH-rrfH	[rrlH-rrfH 225,729 &rarr; 228,875]	+	rrlHp	[rrlHp NIL &rarr; NIL]	rrfH // rrlH
ldtB	[ldtB 854,824 &larr; 855,786]	-	ldtBp	[ldtBp 855,786]	ldtB
lapAB	[lapAB 1,340,186 &rarr; 1,341,727]	+	lapAp2	[lapAp2 1,340,186]	lapB // lapA
narXL	[narXL 1,275,179 &larr; 1,277,777]	-	narXp	[narXp 1,277,777]	narL // narX
cstA	[cstA 629,873 &rarr; 632,091]	+	cstAp3	[cstAp3 629,873]	cstA
trpCBA	[trpCBA 1,316,416 &larr; 1,319,944]	-	trpCp	[trpCp 1,319,944]	trpA // trpB // trpC
pphB	[pphB 2,859,760 &rarr; 2,860,416]	+			pphB
hlyE	[hlyE 1,229,483 &larr; 1,230,466]	-	hlyEp	[hlyEp 1,230,466]	hlyE
pstB-phoU	[pstB-phoU 3,906,853 &larr; 3,908,556]	-	pstBp2	[pstBp2 3,908,556]	phoU // pstB
cadA	[cadA 4,356,470 &larr; 4,358,647]	-	cadAp	[cadAp NIL &larr; NIL]	cadA
ftnB	[ftnB 1,986,738 &rarr; 1,987,428]	+	ftnBp2	[ftnBp2 1,986,799]	ftnB
thiMD	[thiMD 2,183,716 &larr; 2,185,451]	-	thiMp	[thiMp 2,185,451]	thiM // thiD
gadBC	[gadBC 1,568,904 &larr; 1,572,072]	-	gadBp2	[gadBp2 1,572,072]	gadC // gadB
yceQ	[yceQ 1,144,502 &rarr; 1,144,822]	+			yceQ
mscK	[mscK 486,492 &rarr; 489,898]	+	mscKp	[mscKp 486,492]	mscK
yeeX	[yeeX 2,079,032 &larr; 2,079,361]	-			tmaR
yciI	[yciI 1,310,569 &larr; 1,310,892]	-	yciIp	[yciIp 1,310,892]	yciI
ybgIJKL-nei	[ybgIJKL-nei 742,619 &rarr; 746,726]	+	ybgIp1	[ybgIp1 742,619]	nei // pxpA // pxpC // pxpB // ybgI
ldtD	[ldtD 980,931 &rarr; 982,894]	+	ldtDp	[ldtDp 980,931]	ldtD
ygiZ	[ygiZ 3,171,879 &larr; 3,172,323]	-	ygiZp	[ygiZp 3,172,323]	ygiZ
alaS	[alaS 2,819,381 &larr; 2,822,090]	-	alaSp	[alaSp 2,822,090]	alaS
htpG	[htpG 494,817 &rarr; 496,994]	+	htpGp3	[htpGp3 494,817]	htpG
uhpB	[uhpB 3,848,634 &larr; 3,850,294]	-	uhpBp	[uhpBp 3,850,294]	uhpB
ybbN	[ybbN 517,425 &larr; 518,490]	-	ybbNp1	[ybbNp1 518,490]	cnoX
leuE	[leuE 1,880,121 &larr; 1,880,800]	-	leuEp	[leuEp 1,880,800]	leuE
alkA	[alkA 2,146,692 &larr; 2,147,559]	-	alkAp2	[alkAp2 2,147,559]	alkA
metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp	[metY-yhbC-nusA-infB-rbfA-truB-rpsO-pnp 3,308,999 &larr; 3,318,297]	-	metYp1	[metYp1 3,318,297]	pnp // rpsO // truB // rbfA // infB // nusA // rimP // metY
yicJI	[yicJI 3,832,219 &larr; 3,836,664]	-	yicJp	[yicJp 3,836,664]	yicI // yicJ
copA	[copA 508,875 &larr; 511,411]	-	copAp	[copAp 511,411]	copA
tfaD	[tfaD 581,534 &rarr; 582,097]	+			tfaD
cytR	[cytR 4,123,431 &larr; 4,124,509]	-	cytRp	[cytRp 4,124,509]	cytR
yicH	[yicH 3,830,431 &rarr; 3,832,166]	+	yicHp	[yicHp 3,830,431]	yicH
dgcZ	[dgcZ 1,622,960 &larr; 1,623,879]	-	dgcZp	[dgcZp 1,623,879]	dgcZ
glcDEFGBA	[glcDEFGBA 3,119,597 &larr; 3,128,076]	-	glcDp	[glcDp 3,128,076]	glcA // glcB // glcG // glcF // glcE // glcD
yjhU	[yjhU 4,519,338 &larr; 4,520,324]	-			yjhU
dmlR	[dmlR 1,880,886 &larr; 1,881,809]	-			dmlR
gyrB	[gyrB 3,877,532 &larr; 3,880,150]	-	gyrBp2	[gyrBp2 3,880,150]	gyrB
yccFS	[yccFS 1,021,730 &larr; 1,024,365]	-	yccFp	[yccFp 1,024,365]	yccF // yccS
ynaA-lomR	[ynaA-lomR 1,426,454 &rarr; 1,428,984]	+			lomR // ynaA
dhaR	[dhaR 1,251,003 &rarr; 1,252,985]	+	dhaRp	[dhaRp 1,251,003]	dhaR
folD-ybcJ	[folD-ybcJ 556,661 &larr; 557,781]	-	folDp	[folDp 557,781]	folD // ybcJ
rpmH-rnpA	[rpmH-rnpA 3,884,237 &rarr; 3,884,852]	+	rpmHp2	[rpmHp2 3,884,237]	rnpA // rpmH
torCAD	[torCAD 1,057,977 &rarr; 1,062,398]	+	torCp	[torCp 1,058,056]	torC // torA // torD
yfdPQ	[yfdPQ 2,473,604 &rarr; 2,474,856]	+			yfdQ // yfdP
cusCFBA	[cusCFBA 595,519 &rarr; 601,857]	+	cusCp	[cusCp 595,573]	cusA // cusB // cusF // cusC
yihN	[yihN 4,062,247 &rarr; 4,063,512]	+			yihN
ytfA	[ytfA 4,427,694 &rarr; 4,428,095]	+			ytfA
yafC	[yafC 229,967 &larr; 230,881]	-			yafC
yahM	[yahM 345,404 &rarr; 345,649]	+			yahM
csrA	[csrA 2,818,961 &larr; 2,819,373]	-	csrAp	[csrAp 2,819,373]	csrA
yjhR	[yjhR 4,535,015 &rarr; 4,536,031]	+			yjhR
ygiH	[ygiH 3,204,694 &rarr; 3,205,311]	+			plsY
fdhD	[fdhD 4,086,016 &rarr; 4,086,849]	+			fdhD
eptB	[eptB 3,708,784 &larr; 3,710,581]	-	eptBp	[eptBp 3,710,581]	eptB
araFGH	[araFGH 1,982,554 &larr; 1,986,238]	-	araFp3	[araFp3 1,986,238]	araH // araG // araF
sohB	[sohB 1,329,284 &rarr; 1,330,381]	+	sohBp	[sohBp 1,329,284]	sohB
yqeH	[yqeH 2,987,536 &rarr; 2,988,168]	+			yqeH
mdlAB	[mdlAB 468,871 &rarr; 472,417]	+			mdlB // mdlA
yoeF	[yoeF 2,078,575 &rarr; 2,078,931]	+			yoeF
nusA-infB	[nusA-infB 3,313,185 &larr; 3,317,602]	-	nusAp	[nusAp 3,317,602]	infB // nusA
phnLMNOP	[phnLMNOP 4,314,344 &larr; 4,317,925]	-	phnLp	[phnLp NIL &larr; NIL]	phnP // phnO // phnN // phnM // phnL
ybcLM	[ybcLM 570,893 &rarr; 572,251]	+			ybcM // ybcL
eutNEJG	[eutNEJG 2,568,324 &larr; 2,572,050]	-			eutN // eutE // eutJ // eutG
perR	[perR 269,289 &larr; 270,182]	-			perR
frc	[frc 2,492,004 &larr; 2,493,439]	-	frcp	[frcp 2,493,439]	frc
yjdC	[yjdC 4,362,733 &larr; 4,363,330]	-	yjdCp	[yjdCp 4,363,330]	dicD
ubiCA	[ubiCA 4,252,431 &rarr; 4,253,888]	+	ubiCp	[ubiCp 4,252,443]	ubiC // ubiA
gltS	[gltS 3,827,460 &larr; 3,828,665]	-			gltS
cspF	[cspF 1,641,855 &rarr; 1,642,067]	+			cspF
yahDEFG	[yahDEFG 335,280 &rarr; 339,743]	+			yahG // yahF // yahE // yahD
araC	[araC 70,118 &rarr; 71,265]	+	araCp	[araCp 70,223]	araC
yghF	[yghF 3,112,054 &larr; 3,113,049]	-	yghFp	[yghFp 3,112,899]	yghF
yidI	[yidI 3,856,415 &rarr; 3,856,864]	+			yidI
yrhC	[yrhC 3,623,887 &rarr; 3,624,132]	+			yrhC
secMA-mutT	[secMA-mutT 107,705 &rarr; 111,433]	+			mutT // secA // secM
gadXW	[gadXW 3,663,541 &larr; 3,665,839]	-	gadXp	[gadXp 3,665,839]	gadW // gadX
htpX	[htpX 1,911,652 &larr; 1,912,618]	-	htpXp	[htpXp 1,912,618]	htpX
cysDNC	[cysDNC 2,873,234 &larr; 2,876,368]	-	cysDp	[cysDp 2,876,368]	cysC // cysN // cysD
ynaE	[ynaE 1,433,991 &larr; 1,434,224]	-			ynaE
mtr	[mtr 3,304,573 &larr; 3,305,932]	-	mtrp1	[mtrp1 3,305,932]	mtr
ampH	[ampH 395,130 &larr; 396,363]	-	ampHp1	[ampHp1 396,363]	ampH
zupT	[zupT 3,182,433 &rarr; 3,183,323]	+	zupTp	[zupTp 3,182,433]	zupT
mgrB	[mgrB 1,908,623 &larr; 1,908,792]	-	mgrBp	[mgrBp 1,908,792]	mgrB
ihfB	[ihfB 963,429 &rarr; 964,173]	+	ihfBp2	[ihfBp2 963,749]	ihfB
rihC	[rihC 27,293 &rarr; 28,207]	+			rihC
yeiG	[yeiG 2,243,910 &rarr; 2,244,746]	+			yeiG
dusB-fis	[dusB-fis 3,409,993 &rarr; 3,411,626]	+	dusBp	[dusBp 3,410,246]	dusB // fis
pncC	[pncC 2,823,849 &larr; 2,824,394]	-	pncCp	[pncCp 2,824,394]	pncC
selC	[selC 3,836,198 &rarr; 3,836,316]	+	selCp	[selCp 3,836,198]	selC
pyrG-eno	[pyrG-eno 2,906,643 &larr; 2,909,713]	-	pyrGp	[pyrGp 2,909,713]	eno // pyrG
yohC	[yohC 2,225,044 &larr; 2,225,631]	-			yohC
lysO	[lysO 913,958 &larr; 914,895]	-	lysOp	[lysOp 914,895]	lysO
ftsYEX	[ftsYEX 3,601,028 &larr; 3,604,243]	-			ftsX // ftsE // ftsY
yqgC	[yqgC 3,086,187 &rarr; 3,086,402]	+			yqgC
galP	[galP 3,088,193 &rarr; 3,089,678]	+	galPp	[galPp 3,088,255]	galP
mdtG	[mdtG 1,114,264 &larr; 1,115,490]	-			mdtG
ymfED	[ymfED 1,196,867 &larr; 1,198,237]	-			ymfE // ymfD
cysH	[cysH 2,887,578 &larr; 2,888,342]	-	cysHp	[cysHp NIL &larr; NIL]	cysH
abgABT-ogt	[abgABT-ogt 1,399,721 &larr; 1,404,565]	-			abgA // abgB // abgT // ogt
pykF	[pykF 1,755,600 &rarr; 1,757,110]	+	pykFp4	[pykFp4 1,755,600]	pykF
hypABCDE	[hypABCDE 2,849,875 &rarr; 2,854,321]	+	hypAp	[hypAp 2,850,627]	hypA // hypB // hypC // hypD // hypE
uxaCA	[uxaCA 3,241,827 &larr; 3,244,843]	-	uxaCp1	[uxaCp1 3,244,843]	uxaA // uxaC
yzgL	[yzgL 3,563,724 &larr; 3,564,005]	-			yzgL
feaB	[feaB 1,447,370 &rarr; 1,449,063]	+	feaBp2	[feaBp2 1,447,370]	feaB
nanY	[nanY 4,505,260 &rarr; 4,506,405]	+	nanYp2	[nanYp2 4,505,260]	nanY
mlaFEDCB	[mlaFEDCB 3,336,963 &larr; 3,340,102]	-	mlaFp3	[mlaFp3 3,340,102]	mlaB // mlaC // mlaD // mlaE // mlaF
yhjE	[yhjE 3,674,786 &rarr; 3,676,108]	+			yhjE
ydaGF	[ydaGF 1,419,156 &larr; 1,419,456]	-			ydaG // ydaF
sspAB	[sspAB 3,376,249 &larr; 3,377,569]	-	sspAp	[sspAp 3,377,569]	sspB // sspA
yaiT	[yaiT 390,251 &rarr; 394,418]	+			yaiT
lrhA	[lrhA 2,405,703 &larr; 2,406,656]	-	lrhAp	[lrhAp 2,406,656]	lrhA
yciG	[yciG 1,315,785 &larr; 1,316,092]	-	yciGp	[yciGp 1,316,092]	yciG
recA	[recA 2,822,670 &larr; 2,823,819]	-	recAp	[recAp 2,823,819]	recA
ypeA-yfeZ	[ypeA-yfeZ 2,551,277 &larr; 2,552,138]	-			ypeA // yfeZ
fldA-uof-fur	[fldA-uof-fur 710,118 &larr; 711,521]	-	fldAp	[fldAp 711,521]	uof // fur // fldA
rnk	[rnk 643,557 &larr; 643,967]	-			rnk
ybgD	[ybgD 752,229 &larr; 752,795]	-			ybgD
mug	[mug 3,214,967 &larr; 3,215,473]	-			mug
yeiW	[yeiW 2,265,041 &larr; 2,265,330]	-	yeiWp	[yeiWp 2,265,330]	yeiW
ybcV	[ybcV 579,184 &larr; 579,594]	-			ybcV
rrsC-gltU-rrlC-rrfC	[rrsC-gltU-rrlC-rrfC 3,941,395 &rarr; 3,947,067]	+	rrsCp	[rrsCp 3,941,516]	rrfC // rrlC // gltU // rrsC
srlAEBD-gutM-srlR-gutQ	[srlAEBD-gutM-srlR-gutQ 2,825,449 &rarr; 2,830,778]	+	srlAp	[srlAp 2,825,791]	srlA // srlE // srlB // srlD // gutM // srlR // gutQ
marC	[marC 1,618,243 &larr; 1,618,941]	-	marCp	[marCp 1,618,941]	marC
yebQ	[yebQ 1,910,276 &rarr; 1,911,649]	+			yebQ
atpBEFHAGDC	[atpBEFHAGDC 3,915,508 &larr; 3,922,270]	-	atpBp1	[atpBp1 3,922,270]	atpC // atpD // atpG // atpA // atpH // atpF // atpE // atpB
nikABCDER	[nikABCDER 3,613,439 &rarr; 3,618,989]	+	nikAp2	[nikAp2 3,613,439]	nikE // nikR // nikD // nikC // nikB // nikA
btsSR	[btsSR 2,212,243 &larr; 2,214,644]	-			btsS // btsR
yheO-tusDCB	[yheO-tusDCB 3,474,678 &larr; 3,476,506]	-	yheOp1	[yheOp1 3,476,506]	yheO // tusD // tusC // tusB
yggX	[yggX 3,103,993 &rarr; 3,104,368]	+	yggXp	[yggXp 3,103,993]	yggX
eda	[eda 1,932,085 &larr; 1,932,784]	-	edap3	[edap3 1,932,784]	eda
kdgR	[kdgR 1,909,308 &larr; 1,910,099]	-			kdgR
yihR	[yihR 4,069,475 &larr; 4,070,401]	-			yihR
bamA	[bamA 197,821 &rarr; 200,360]	+	bamAp1	[bamAp1 197,821]	bamA
gyrA	[gyrA 2,336,793 &larr; 2,339,457]	-	gyrAp	[gyrAp 2,339,457]	gyrA
pdxJ-acpS	[pdxJ-acpS 2,700,618 &larr; 2,701,813]	-	pdxJp	[pdxJp 2,701,813]	acpS // pdxJ
stfZ	[stfZ 104,948 &larr; 105,499]	-	stfZp1	[stfZp1 105,313]	stfZ
yedL	[yedL 2,010,600 &rarr; 2,011,079]	+			yedL
yiaKLMNO-lyx-sgbHUE	[yiaKLMNO-lyx-sgbHUE 3,742,720 &rarr; 3,750,781]	+	yiaKp2	[yiaKp2 3,742,720]	sgbE // sgbU // sgbH // lyxK // yiaO // yiaN // yiaM // yiaL // yiaK
selAB	[selAB 3,758,017 &larr; 3,761,297]	-	selAp	[selAp 3,761,297]	selB // selA
yfbV	[yfbV 2,412,677 &larr; 2,413,132]	-			yfbV
yieEF	[yieEF 3,893,829 &rarr; 3,895,218]	+	yieEp	[yieEp 3,893,829]	yieF // yieE
ubiT-yhbS	[ubiT-yhbS 3,300,255 &larr; 3,301,368]	-	ubiTp1	[ubiTp1 3,301,368]	ubiT // yhbS
paaJ	[paaJ 1,460,644 &rarr; 1,462,098]	+	paaJp3	[paaJp3 1,460,644]	paaJ
rrsB-gltT-rrlB-rrfB	[rrsB-gltT-rrlB-rrfB 4,166,224 &rarr; 4,171,962]	+	rrsBp	[rrsBp 4,166,367]	rrfB // rrlB // gltT // rrsB
diaA	[diaA 3,295,809 &rarr; 3,296,399]	+			diaA
yafU	[yafU 238,746 &larr; 239,114]	-	yafUp	[yafUp NIL &larr; NIL]	yafU
imp	[imp 54,755 &larr; 57,241]	-	impp2	[impp2 57,241]	lptD
insH-9	[insH-9 3,130,214 &rarr; 3,131,194]	+			insH9
ydgI-folM	[ydgI-folM 1,679,557 &rarr; 1,681,698]	+			folM // ydgI
rpoE-rseABC	[rpoE-rseABC 2,707,322 &larr; 2,710,087]	-	rpoEp	[rpoEp 2,710,087]	rseC // rseB // rseA // rpoE
ompF	[ompF 985,831 &larr; 987,092]	-	ompFp	[ompFp 987,092]	ompF
zipA	[zipA 2,530,247 &larr; 2,531,233]	-			zipA
insE5EF5F5	[insE5EF5F5 2,170,236 &rarr; 2,171,398]	+			insF5 // insE5 // insEF5
rplJL-rpoBC	[rplJL-rpoBC 4,179,623 &rarr; 4,189,613]	+	rplJp	[rplJp 4,179,623]	rplJ // rplL // rpoB // rpoC
ygjP	[ygjP 3,235,960 &rarr; 3,236,463]	+			ygjP
yabPQ	[yabPQ 58,474 &rarr; 59,279]	+			yabQ // yabP
rfaH	[rfaH 4,024,333 &larr; 4,024,821]	-			rfaH
yjhF	[yjhF 4,520,671 &larr; 4,522,020]	-			yjhF
yjaZ	[yjaZ 4,189,753 &rarr; 4,190,349]	+	yjaZp	[yjaZp 4,189,753]	yjaZ
yohD	[yohD 2,225,801 &rarr; 2,226,379]	+			yohD
pepN	[pepN 990,591 &rarr; 993,234]	+	pepNp	[pepNp 990,591]	pepN
mviM	[mviM 1,126,806 &rarr; 1,127,729]	+			yceM
relA	[relA 2,911,417 &larr; 2,913,700]	-	relAp3	[relAp3 2,913,700]	relA
hemL	[hemL 173,602 &larr; 174,921]	-	hemLp	[hemLp 174,921]	hemL
yjjX	[yjjX 4,633,233 &larr; 4,633,745]	-			yjjX
infC-rpmI-rplT	[infC-rpmI-rplT 1,799,363 &larr; 1,800,818]	-	infCp2	[infCp2 1,800,818]	rplT // rpmI // infC
hokE	[hokE 607,731 &rarr; 607,988]	+	hokEp	[hokEp 607,731]	hokE
uvrYC	[uvrYC 1,992,874 &larr; 1,995,406]	-	uvrYp2	[uvrYp2 1,995,406]	uvrC // uvrY
yidB	[yidB 3,877,067 &larr; 3,877,465]	-			yidB
insH4	[insH4 1,396,112 &rarr; 1,397,092]	+			insH4
putP	[putP 1,079,291 &rarr; 1,080,838]	+	putPp5	[putPp5 1,079,291]	putP
cstA	[cstA 629,864 &rarr; 632,091]	+	cstAp2	[cstAp2 629,864]	cstA
tig	[tig 455,122 &rarr; 456,431]	+	tigp2	[tigp2 455,122]	tig
yfeH	[yfeH 2,526,946 &rarr; 2,527,944]	+			yfeH
leuV	[leuV 4,606,079 &larr; 4,606,165]	-			leuV
upp-uraA	[upp-uraA 2,618,871 &larr; 2,620,909]	-	uppp	[uppp 2,620,909]	uraA // upp
yaeI	[yaeI 184,257 &larr; 185,069]	-			yaeI
yhbX	[yhbX 3,319,988 &larr; 3,321,613]	-			yhbX
ygeY	[ygeY 3,008,764 &rarr; 3,009,975]	+			ygeY
yfaZ	[yfaZ 2,363,733 &larr; 2,364,275]	-			yfaZ
dnaQ	[dnaQ 236,017 &rarr; 236,798]	+	dnaQp2	[dnaQp2 236,017]	dnaQ
appA	[appA 1,040,599 &rarr; 1,041,915]	+	appAp	[appAp 1,040,599]	appA
mcbR	[mcbR 1,520,262 &rarr; 1,520,927]	+			mcbR
alaA	[alaA 2,407,408 &rarr; 2,408,778]	+	alaAp9	[alaAp9 2,407,408]	alaA
ynaI	[ynaI 1,394,891 &larr; 1,395,973]	-	ynaIp	[ynaIp 1,395,973]	ynaI
fsaA	[fsaA 863,642 &rarr; 864,304]	+			fsaA
rrsA-ileT-alaT-rrlA-rrfA	[rrsA-ileT-alaT-rrlA-rrfA 4,035,356 &rarr; 4,040,636]	+	rrsAp2	[rrsAp2 4,035,356]	rrfA // rrlA // alaT // ileT // rrsA
dppABCDF	[dppABCDF 3,701,864 &larr; 3,707,870]	-	dppAp	[dppAp 3,707,870]	dppF // dppD // dppC // dppB // dppA
wza-wzb-wzc-wcaAB	[wza-wzb-wzc-wcaAB 2,132,067 &larr; 2,137,583]	-	wzap1	[wzap1 2,137,583]	wcaB // wcaA // wzc // wzb // wza
gspAB	[gspAB 3,453,508 &larr; 3,455,495]	-	gspAp3	[gspAp3 3,455,495]	gspB // gspA
yijF	[yijF 4,137,040 &larr; 4,137,657]	-			yijF
rstAB	[rstAB 1,682,094 &rarr; 1,684,183]	+	rstAp	[rstAp 1,682,138]	rstB // rstA
yaaA	[yaaA 5,683 &larr; 6,459]	-			yaaA
acrZ	[acrZ 794,751 &rarr; 794,922]	+	acrZp	[acrZp 794,751]	acrZ
dcd	[dcd 2,141,634 &larr; 2,142,245]	-	dcdp	[dcdp NIL &larr; NIL]	dcd
def-fmt	[def-fmt 3,433,650 &rarr; 3,435,161]	+	defp	[defp 3,433,650]	def // fmt
rtcBA	[rtcBA 3,555,833 &larr; 3,558,107]	-	rtcBp	[rtcBp 3,558,107]	rtcA // rtcB
ydcY	[ydcY 1,517,648 &rarr; 1,517,881]	+			ydcY
alsK	[alsK 4,306,870 &larr; 4,307,799]	-			alsK
nfeF	[nfeF 3,215,727 &larr; 3,216,538]	-	yqjHp	[yqjHp 3,216,538]	nfeF
yafT	[yafT 237,335 &rarr; 238,120]	+			yafT
yedI	[yedI 2,028,449 &larr; 2,029,366]	-			yedI
